"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES GRAZED  -  <b>VALUE</b>","CORN - ACRES GRAZED  -  <b>CV (%)</b>","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>VALUE</b>","CORN - ACRES REMAINING TO BE PLANTED  -  <b>CV (%)</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, BT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, HERBICIDE RESISTANT - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>VALUE</b>","CORN, BIOTECH, STACKED GENE - AREA PLANTED, MEASURED IN PCT BY TYPE  -  <b>CV (%)</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL & OTHER PRODUCTS - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR BEVERAGE ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR INDUSTRIAL ALCOHOL - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>VALUE</b>","CORN, FOR OTHER PRODUCTS (EXCL ALCOHOL) - USAGE, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES REMAINING TO BE HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, 10 YEAR AVG, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, ADJUSTED BASE, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","67,717,000","","","","","","","","","","","","","","","","","","","","","","","","58,250,000","","","","","","","","","","","","12,661,362,000","","4,928,681,000","","84.6","","8,301,000","","78,911,000","","9.5",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","66,200,000","","","","","","","","","","","","","","","","","","","","","","","","59,505,000","","","","","","","","","","","","14,107,705,000","","7,131,300,000","","119.8","","5,994,000","","86,442,000","","14.4",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","76,580,000","","","","","","","","","","","","","","","","","","","","","","","","68,907,000","","","","","","","","","","","","12,507,263,000","","8,225,764,000","","119.4","","6,418,000","","90,227,000","","14.1",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","306,000","","83,398,000","","","","","","","","","","","","","","","","","","","","","","","","75,209,000","","","","","","","","","","","","19,518,762,000","","8,875,453,000","","118","","7,155,000","","102,664,000","","14.3",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","329,000","","80,517,000","","","","","","","","","","","","","","","","","","","","","","","","71,897,000","","","","","","","","","","","","20,143,883,000","","7,672,130,000","","106.7","","7,535,000","","104,491,000","","13.9",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","300,000","","60,207,000","","","","","","","","","","","","","","","","","","","","","","","","51,479,000","","","","","","","","","","","","13,552,853,000","","4,174,251,000","","81.1","","7,808,000","","96,238,000","","12.3",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","307,000","","81,857,000","","","","","","","","","","","","","","","","","","","","","","","","72,719,000","","","","","","","","","","","","21,641,046,000","","8,235,101,000","","113.2","","8,252,000","","117,782,000","","14.3",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","361,000","","84,097,000","","","","","","","","","","","","","","","","","","","","","","","","74,524,000","","","","","","","","","","","","20,200,261,000","","8,118,650,000","","108.9","","8,307,000","","117,891,000","","14.2",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","584,000","","84,043,000","","","","","","","","","","","","","","","","","","","","","","","","72,961,000","","","","","","","","","","","","20,554,147,000","","6,639,396,000","","91","","9,299,000","","111,990,000","","12",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","388,000","","81,394,000","","","","","","","","","","","","","","","","","","","","","","","","72,400,000","","","","","","","","","","","","19,876,655,000","","7,928,139,000","","109.5","","7,989,000","","114,799,000","","14.4",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","433,000","","81,675,000","","","","","","","","","","","","","","","","","","","","","","","","71,930,000","","","","","","","","","","","","16,280,688,000","","7,267,927,000","","101","","8,624,000","","118,132,000","","13.7",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","609,000","","84,328,000","","","","","","","","","","","","","","","","","","","","","","","","71,614,000","","","","","","","","","","","","13,107,420,000","","6,505,041,000","","90.8","","9,314,000","","117,743,000","","12.6",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","855,000","","84,588,000","","","","","","","","","","","","","","","","","","","","","","","","71,506,000","","","","","","","","","","","","13,524,134,000","","6,289,169,000","","88","","11,281,000","","118,547,000","","10.5",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","560,000","","78,719,000","","","","","","","","","","","","","","","","","","","","","","","","67,625,000","","","","","","","","","","","","14,817,840,000","","5,840,757,000","","86.4","","9,848,000","","116,087,000","","11.8",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","626,000","","77,935,000","","","","","","","","","","","","","","","","","","","","","","","","65,405,000","","","","","","","","","","","","14,231,557,000","","4,701,402,000","","71.9","","10,844,000","","115,705,000","","10.7",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","567,000","","72,253,000","","","","","","","","","","","","","","","","","","","","","","","","62,143,000","","","","","","","","","","","","14,462,744,000","","5,670,712,000","","91.3","","9,023,000","","114,267,000","","12.7",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","520,000","","67,126,000","","","","","","","","","","","","","","","","","","","","","","","","57,513,000","","","","","","","","","","","","8,743,036,000","","5,579,832,000","","97","","8,351,000","","109,343,000","","13.1",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","694,000","","74,179,000","","","","","","","","","","","","","","","","","","","","","","","","64,123,000","","","","","","","","","","","","6,101,055,000","","5,646,260,000","","88.1","","8,814,000","","109,302,000","","12.4",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","650,000","","66,863,000","","","","","","","","","","","","","","","","","","","","","","","","57,358,000","","","","","","","","","","","","5,514,702,000","","4,152,243,000","","72.4","","8,078,000","","94,084,000","","11.6",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","597,000","","64,264,000","","","","","","","","","","","","","","","","","","","","","","","","54,574,000","","","","","","","","","","","","5,415,997,000","","4,687,057,000","","85.9","","7,892,000","","99,161,000","","12.6",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","746,000","","65,126,000","","","","","","","","","","","","","","","","","","","","","","","","55,980,000","","","","","","","","","","","","4,825,623,000","","4,449,542,000","","79.5","","7,879,000","","93,652,000","","11.9",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","977,000","","71,156,000","","","","","","","","","","","","","","","","","","","","","","","","60,694,000","","","","","","","","","","","","5,044,235,000","","4,860,372,000","","80.1","","8,363,000","","94,783,000","","11.3",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","931,000","","66,347,000","","","","","","","","","","","","","","","","","","","","","","","","57,002,000","","","","","","","","","","","","5,170,973,000","","4,167,608,000","","73.1","","7,934,000","","89,683,000","","11.3",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,170,000","","65,171,000","","","","","","","","","","","","","","","","","","","","","","","","55,392,000","","","","","","","","","","","","4,754,199,000","","4,102,867,000","","74.1","","8,054,000","","84,447,000","","10.5",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,399,000","","65,823,000","","","","","","","","","","","","","","","","","","","","","","","","55,369,000","","","","","","","","","","","","4,064,208,000","","3,484,253,000","","62.9","","8,620,000","","83,551,000","","9.7",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,398,000","","68,771,000","","","","","","","","","","","","","","","","","","","","","","","","59,227,000","","","","","","","","","","","","4,454,048,000","","4,019,238,000","","67.9","","7,692,000","","82,926,000","","10.8",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,547,000","","65,017,000","","","","","","","","","","","","","","","","","","","","","","","","55,726,000","","","","","","","","","","","","4,025,296,000","","3,606,311,000","","64.7","","7,201,000","","76,753,000","","10.7",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,510,000","","65,919,000","","","","","","","","","","","","","","","","","","","","","","","","57,634,000","","","","","","","","","","","","3,938,994,000","","3,597,803,000","","62.4","","6,261,000","","66,064,000","","10.6",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,080,000","","81,425,000","","","","","","","","","","","","","","","","","","","","","","","","71,422,000","","","","","","","","","","","","3,928,779,000","","3,906,949,000","","54.7","","7,176,000","","65,429,000","","9.1",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,794,000","","82,742,000","","","","","","","","","","","","","","","","","","","","","","","","72,091,000","","","","","","","","","","","","4,013,126,000","","3,824,598,000","","53.1","","7,017,000","","59,708,000","","8.5",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,391,000","","73,351,000","","","","","","","","","","","","","","","","","","","","","","","","63,549,000","","","","","","","","","","","","3,755,553,000","","3,356,205,000","","52.8","","6,284,000","","55,612,000","","8.85",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,677,000","","73,180,000","","","","","","","","","","","","","","","","","","","","","","","","63,065,000","","","","","","","","","","","","3,393,496,000","","3,045,355,000","","48.3","","6,122,000","","54,072,000","","8.83",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,835,000","","77,828,000","","","","","","","","","","","","","","","","","","","","","","","","64,877,000","","","","","","","","","","","","3,967,290,000","","3,075,336,000","","47.4","","6,535,000","","54,571,000","","8.35",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,944,000","","80,932,000","","","","","","","","","","","","","","","","","","","","","","","","68,462,000","","","","","","","","","","","","3,848,649,000","","2,872,959,000","","42","","6,961,000","","52,974,000","","7.61",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,404,000","","82,185,000","","","","","","","","","","","","","","","","","","","","","","","","68,668,000","","","","","","","","","","","","3,872,433,000","","2,707,913,000","","39.4","","7,114,000","","52,559,000","","7.39",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,619,000","","81,574,000","","","","","","","","","","","","","","","","","","","","","","","","70,738,000","","","","","","","","","","","","4,291,366,000","","2,881,801,000","","40.7","","6,102,000","","47,855,000","","7.84",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,226,000","","82,230,000","","","","","","","","","","","","","","","","","","","","","","","","71,353,000","","","","","","","","","","","","4,557,031,000","","2,980,793,000","","41.8","","5,361,000","","43,174,000","","8.05",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,729,000","","83,275,000","","","","","","","","","","","","","","","","","","","","","","","","71,191,000","","","","","","","","","","","","4,364,659,000","","2,628,937,000","","36.9","","4,809,000","","38,949,000","","8.1",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,483,000","","82,859,000","","","","","","","","","","","","","","","","","","","","","","","","72,398,000","","","","","","","","","","","","4,222,366,000","","2,764,071,000","","38.2","","4,937,000","","41,002,000","","8.31",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,976,000","","86,738,000","","","","","","","","","","","","","","","","","","","","","","","","77,106,000","","","","","","","","","","","","3,666,009,000","","2,946,206,000","","38.2","","4,513,000","","40,386,000","","8.95",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,621,000","","85,522,000","","","","","","","","","","","","","","","","","","","","","","","","76,840,000","","","","","","","","","","","","3,625,055,000","","3,307,038,000","","43","","4,317,000","","37,592,000","","8.71",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,449,000","","85,038,000","","","","","","","","","","","","","","","","","","","","","","","","73,802,000","","","","","","","","","","","","","","2,108,320,000","","28.6","","4,637,000","","34,290,000","","7.39",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,598,000","","88,898,000","","","","","","","","","","","","","","","","","","","","","","","","78,410,000","","","","","","","","","","","","","","2,916,089,000","","37.2","","4,577,000","","36,031,000","","7.87",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,202,000","","89,261,000","","","","","","","","","","","","","","","","","","","","","","","","77,928,000","","","","","","","","","","","","","","2,577,449,000","","33.1","","4,495,000","","35,214,000","","7.83",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,536,000","","95,475,000","","","","","","","","","","","","","","","","","","","","","","","","85,002,000","","","","","","","","","","","","","","2,801,612,000","","33","","4,476,000","","34,888,000","","7.79",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,992,000","","94,341,000","","","","","","","","","","","","","","","","","","","","","","","","81,906,000","","","","","","","","","","","","","","2,668,490,000","","32.6","","4,162,000","","33,518,000","","8.05",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,313,000","","88,818,000","","","","","","","","","","","","","","","","","","","","","","","","79,213,000","","","","","","","","","","","","","","2,801,819,000","","35.4","","3,841,000","","33,445,000","","8.71",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,930,000","","86,837,000","","","","","","","","","","","","","","","","","","","","","","","","77,404,000","","","","","","","","","","","","","","2,414,445,000","","31.2","","4,023,000","","33,751,000","","8.39",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,251,000","","88,692,000","","","","","","","","","","","","","","","","","","","","","","","","76,443,000","","","","","","","","","","","","","","2,206,882,000","","28.9","","4,735,000","","34,615,000","","7.31",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,458,000","","91,639,000","","","","","","","","","","","","","","","","","","","","","","","","78,307,000","","","","","","","","","","","","","","2,341,602,000","","29.9","","4,514,000","","33,200,000","","7.35",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,916,000","","94,473,000","","","","","","","","","","","","","","","","","","","","","","","","82,788,000","","","","","","","","","","","","","","2,300,095,000","","27.8","","4,456,000","","35,187,000","","7.9",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,165,000","","97,174,000","","","","","","","","","","","","","","","","","","","","","","","","81,222,000","","","","","","","","","","","","","","2,349,425,000","","28.9","","5,543,000","","37,522,000","","6.77",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","16,782,000","","101,959,000","","","","","","","","","","","","","","","","","","","","","","","","67,833,000","","","","","","","","","","","","","","1,258,673,000","","18.6","","8,539,000","","33,690,000","","3.95",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","8,114,000","","99,974,000","","","","","","","","","","","","","","","","","","","","","","","","82,551,000","","","","","","","","","","","","","","2,001,367,000","","24.2","","5,309,000","","37,563,000","","7.08",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","23,816,000","","100,563,000","","","","","","","","","","","","","","","","","","","","","","","","61,245,000","","","","","","","","","","","","","","1,146,734,000","","18.7","","7,132,000","","35,093,000","","4.92",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","8,924,000","","109,830,000","","","","","","","","","","","","","","","","","","","","","","","","92,130,000","","","","","","","","","","","","","","2,104,725,000","","22.8","","4,864,000","","32,705,000","","6.72",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","9,071,000","","113,024,000","","","","","","","","","","","","","","","","","","","","","","","","97,213,000","","","","","","","","","","","","","","2,578,685,000","","26.5","","4,293,000","","32,073,000","","7.47",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,025,000","","109,364,000","","","","","","","","","","","","","","","","","","","","","","","","91,131,000","","","","","","","","","","","","","","2,229,903,000","","24.5","","4,710,000","","32,875,000","","6.98",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,065,000","","103,915,000","","","","","","","","","","","","","","","","","","","","","","","","85,525,000","","","","","","","","","","","","","","1,757,297,000","","20.5","","4,875,000","","30,026,000","","6.16",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,590,000","","99,130,000","","","","","","","","","","","","","","","","","","","","","","","","83,194,000","","","","","","","","","","","","","","2,135,038,000","","25.7","","4,021,000","","29,335,000","","7.3",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,519,000","","100,399,000","","","","","","","","","","","","","","","","","","","","","","","","85,832,000","","","","","","","","","","","","","","2,260,990,000","","26.3","","3,985,000","","30,000,000","","7.53",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,174,000","","98,460,000","","","","","","","","","","","","","","","","","","","","","","","","83,915,000","","","","","","","","","","","","","","2,218,189,000","","26.4","","4,268,000","","29,926,000","","7.01",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,827,000","","99,660,000","","","","","","","","","","","","","","","","","","","","","","","","83,275,000","","","","","","","","","","","","","","2,140,207,000","","25.7","","4,350,000","","30,493,000","","7.01",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,825,000","","","","","","","","","","","","","","","","","","","","","","","","","","86,825,000","","","","","","","","","","","","","","2,382,288,000","","27.4","","3,681,000","","29,343,000","","7.97",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,994,000","","","","","","","","","","","","","","","","","","","","","","","","","","84,119,000","","","","","","","","","","","","","","1,860,112,000","","22.1","","4,307,000","","28,737,000","","6.67",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","9,647,000","","","","","","","","","","","","","","","","","","","","","","","","","","87,493,000","","","","","","","","","","","","","","2,429,551,000","","27.8","","3,983,000","","29,874,000","","7.5",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","11,824,000","","","","","","","","","","","","","","","","","","","","","","","","","","84,858,000","","","","","","","","","","","","","","2,229,496,000","","26.3","","3,663,000","","27,568,000","","7.53",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,730,000","","","","","","","","","","","","","","","","","","","","","","","","","","91,939,000","","","","","","","","","","","","","","2,556,924,000","","27.8","","3,486,000","","26,979,000","","7.74",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,528,000","","","","","","","","","","","","","","","","","","","","","","","","","","90,149,000","","","","","","","","","","","","","","2,695,085,000","","29.9","","3,682,000","","27,996,000","","7.6",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,104,000","","","","","","","","","","","","","","","","","","","","","","","","","","87,487,000","","","","","","","","","","","","","","2,341,870,000","","26.8","","3,554,000","","26,866,000","","7.56",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","102,195,000","","","","","","","","","","","","","","2,441,249,000","","23.9","","","","","","",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","110,893,000","","","","","","","","","","","","","","2,908,242,000","","26.2","","","","","","",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","100,561,000","","","","","","","","","","","","","","2,425,206,000","","24.1","","","","","","",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","100,623,000","","","","","","","","","","","","","","2,829,044,000","","28.1","","","","","","",""
"SURVEY","1914","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","97,796,000","","","","","","","","","","","","","","2,523,750,000","","25.8","","","","","","",""
